Tweet_count,Username,Text,Created At,Retweets,Likes
80,Sholla Ard 🇰🇪,"Are kenyans aware that Dp Rigathi Gachagua has exposed that the police have been abducting kenyans through nis? 🚨 The NIS is fighting the deputy president through mutuse coz he's against abductions. 

Remember president William ruto has always denied that there are abductions https://t.co/5MWULN5jgq",Mon Oct 07 18:15:57 +0000 2024,1060,3175
81,"Cyprian, Is Nyakundi",Githunguri MP Gathoni Wamuchomba and Ruaraka MP TJ Kajwang in a heated debate during the impeachment debate against Deputy President Rigathi Gachagua. https://t.co/ZkuJddzoGW,Tue Oct 08 10:26:39 +0000 2024,400,2149
82,Sholla Ard 🇰🇪,"Are Kenyans aware that Mp makali has done the lord's work? 🚨 Kufa dereva kufa makanga. Kenya has more important things to handle. Babu owino. Dp Rigathi Gachagua.
Deputy president https://t.co/dFpRnaccJA",Tue Oct 08 09:24:19 +0000 2024,831,2010
83,𝐉𝐀 𝐊𝐈𝐒𝐈𝐈 ™🇰🇪,"Omwamba drafting and waiting waiting for deputy president Rigathi Gachagua to resign so he can tweet "" what am I hearing about   Gachagua""😂😂💀 https://t.co/85NJnjeB5K",Mon Oct 07 13:43:03 +0000 2024,685,5362
84,K24 TV,"Hon. Wamuchomba: I was very happy when Rigathi was speaking because he mentioned Adani, Extrajudicial killings, abductions, evictions, and the flawed finance bill 2023/2024. Those are the issues Gachagua, the truthful man has spoken.

#K24Siasa #GachaguasCrossroad https://t.co/FTgVpZYmkR",Tue Oct 08 11:37:45 +0000 2024,1037,4675
85,🅿🆁🅴🅰🅲🅷🅴🆁🅺🅸🅳 🇰🇪🇬🇧,So Y'all thought Westlands member of Parliament will stand With Rigathi Gachagua? Nigga can't stand for himself 😎 https://t.co/UMCe1uZ0TQ,Tue Oct 08 17:24:27 +0000 2024,120,633
86,Citizen TV Kenya,DP Rigathi Gachagua has a slight fall 2 metres before winning 100M clocking 59 Seconds followed by Head of Public Service Felix Koskei. https://t.co/mz7F4F0nXU,Sun Jan 07 09:35:47 +0000 2024,636,2313
87,𝑲𝙤𝒓𝙚𝒔🛜,"The mastermind behind all the tactics Rigathi Gachagua used during today’s press briefing.
Cleo Malala! 

#EndOfAnError Riggy G Lonely At The Top. https://t.co/etczrsOCic",Mon Oct 07 20:20:53 +0000 2024,17,180
88,Bernard M8✨,Waiting Rigathi Gachagua to do this for Kenyans https://t.co/HpDevKfRL3,Mon Oct 07 17:01:08 +0000 2024,9,48
89,William Shakespeare,"Mambo ya akina Aoko, Amerix, Morara Kebaso na akina Rigathi Gachagua https://t.co/I9B9J73ktd",Tue Oct 08 14:07:18 +0000 2024,73,284
90,-SAM VIKTA-,Rigathi Gachagua is always lonely despite having pastor Dorcas in his chamber with a bikini every night https://t.co/4oLgA15S7L,Mon Oct 07 16:59:09 +0000 2024,3,21
91,Bianca™,"DP Rigathi Gachagua called this beautiful girl MALAYA!

Her only mistake was being seen with Ndindi Nyoro! https://t.co/bovNn5dGjb",Tue Oct 08 17:17:34 +0000 2024,51,632
92,Jeyo,FORMER DEPUTY PRESIDENT OF KENYA GEOFFREY RIGATHI GACHAGUA https://t.co/yVE8nGyRgf,Tue Oct 08 18:36:01 +0000 2024,1,18
93,𝐉!𝐌𝐌𝐘,I will miss Rigathi Gachagua https://t.co/L9FiI4mB4N,Tue Oct 08 18:38:03 +0000 2024,110,642
94,Gabriel Oguda,Rigathi Gachagua's lawyers to him. https://t.co/gUvxeAfThZ,Tue Oct 08 15:52:51 +0000 2024,295,2071
95,The Eastleigh Voice,"Kathiani MP Robert Mbui: The cost of living is too high, there are no jobs. Those are the issues this House should deal with. Imagine discussing one person (DP Rigathi Gachagua) from the morning. The education, and insurance sectors are having problems https://t.co/4k82GiNJrP",Tue Oct 08 14:26:43 +0000 2024,92,154
96,"H.E. Rigathi Gachagua, EGH",Kenya is a country of the rule of law. Violence and destruction of property has no place in our country. It will never be allowed under the leadership of President @WilliamsRuto now or in  future. https://t.co/ajqMk2up36,Sun Apr 02 19:29:27 +0000 2023,682,6796
97,Kanairaw,"This is a well choreographed script by Rigathi Gachagua and President William Ruto. By the time this play is over, you will be screened by Indians at the airport. JKIA imeenda. Mchezo wa taon. Vipindi.
👏👏👏👏👏 https://t.co/ZpOT0LYSUe",Mon Oct 07 18:23:44 +0000 2024,23,78
98,"H.E. Rigathi Gachagua, EGH","Early this morning, Pastor Dorcas and I took time to walk through the larger Mt Kenya Forest to connect with Mother Nature and appreciate God's creation. The 18KM journey took us through Hombe Forest in Mathira Constituency before getting into Kabaru Forest in Kieni Constituency. https://t.co/0Dc0xcySqg",Sat Apr 08 08:52:41 +0000 2023,418,4373
99,Kimuzi,"Rigathi Gachagua asidhani atasurvive wave ya Ruto Must Go.

He MUST GO too.

#RutoMustGo",Sat Jul 13 07:06:46 +0000 2024,5454,12072
100,PropesaTV,"Rigathi Gachagua to Uhuru. ""Nilikutoa kwa bar"" 
Masaa ni machache https://t.co/REZx1uKx65",Sat Jul 30 12:11:59 +0000 2022,1061,3479
101,NTV Kenya,“I don’t think Riggy G is a bad name” - DP Rigathi Gachagua https://t.co/1GZF80B8Uz,Fri Sep 23 14:37:30 +0000 2022,1843,9270
102,The Oracle,"Are you thinking what I am thinking?

Duale
DP Rigathi Gachagua
MP Kieni
Aoko 
Mutuse https://t.co/SSECBeMDxH",Mon Oct 07 21:40:53 +0000 2024,1,35
103,icone,"Hii kiburi ya Rigathi Gachagua, 
Hii kiburi ya Rigathi Gachagua,
Hii kiburi ya Rigathi Gachagua, 
Hii kiburi ya Rigathi Gachagua,  Akwende kabisa https://t.co/2XXHfn6zhh",Wed Oct 09 05:02:25 +0000 2024,6,6
104,Dr. Mumbi Seraki🇰🇪,Its boiling nicely! Rigathi gachagua https://t.co/dnDl1nmudg,Tue Oct 08 05:13:01 +0000 2024,19,112
105,Omwamba 🇰🇪,Where is Ndindi Nyoro all this time? Who else is Missing in Rigathi Gachagua Impeachment? https://t.co/pvE2ZkHdzj,Tue Oct 08 16:26:09 +0000 2024,243,2966
106,"Hussein Mohamed, MBS.","RIGATHI GACHAGUA! Because you asked for it!  
#GiveRigathiTheMic 

@rigathi https://t.co/jjGnH8Re13",Tue Jul 19 19:14:40 +0000 2022,1236,10414
107,MCMELIN,Rigathi Gachagua huwa na tribalism na he never hides it but hii ya Ruto Must Go ni too much https://t.co/TwZZwRJRxw,Wed Oct 09 04:02:27 +0000 2024,1,3
108,Citizen TV Kenya,"DP Rigathi Gachagua: Why should the DP go to look for foreign investors when his own children can invest at home? Children of many other people I know hide their money in Dubai, they don’t want to invest here. What crime have the children of the DP committed by borrowing money https://t.co/1LbvVwnfew",Mon Oct 07 17:59:32 +0000 2024,429,1753
109,Mambo Mseto X,"I have learnt from my boss - Rigathi Gachagua
https://t.co/2XvamHM2c6",Wed Oct 09 04:07:08 +0000 2024,8,18
